,course_code,title,instructor,distros,time,location
61,BIOL0310A-S26,Microbiology,Emily Putnam,CW SCI,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 303 (MBH 303)
62,BIOL0314A-S26,Molecular Genetics,Andrew Swafford,SCI,"8:40am-9:30am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 311 (MBH 311)
63,BIOL0314B-S26,Molecular Genetics,Erik Solhaug,SCI,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 168 (MBH 168)
64,BIOL0323A-S26,Plant Community Ecology,David Allen,SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 169 (MBH 169)
65,BIOL0323B-S26,Plant Community Ecology,David Allen,CW SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 169 (MBH 169)
66,BIOL0370A-S26,Animal Physiology,Gregory Pask,SCI,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 311 (MBH 311)
67,BIOL0376A-S26,Sweet Biology,Erik Solhaug,SCI,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 148 (MBH 148)
68,BIOL0392A-S26,Conservation Biology,Alexis Mychajliw,CW SCI,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 438 (MBH 438)
69,BIOL0445A-S26,Living Deserts,Kirsten Coe,,"1:30pm-4:15pm on Tuesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 148 (MBH 148)
70,BIOL0449A-S26,Extremophiles Seminar,Erin Eggleston,SCI,"1:30pm-4:15pm on Monday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 148 (MBH 148)
71,BIOL0450A-S26,Topics in Reproduction,Catherine Combelles,SCI,"1:30pm-4:15pm on Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 148 (MBH 148)
72,BLST0101A-S26,Introduction to Black Studies,Eric Cheuk,"AMR HIS, SOC","12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
73,BLST0115A-S26,"Education in the USA
Please register via EDST 0115A",Jonathan Miller-Lane,AMR SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall AUD (AXT AUD)
74,BLST0115B-S26,"Education in the USA
Please register via EDST 0115B",Melissa Hammerle,AMR SOC,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
75,BLST0201A-S26,Black Thought,Jerry Philogene,"AMR CMP, PHL, SOC","11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
76,BLST0220A-S26,"The N Word: Nature, Revisited
Please register via ENVS 0220A",Carolyn Finney,AMR NOR,"1:30pm-4:15pm on Monday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
77,BLST0224A-S26,"African Cinema
Please register via FMMC 0224A",Natasha Ngaiza,"ART CMP, HIS, SAF","11:15am-12:30pm on Tuesday, Thursday at AXN 229 (Feb 9, 2026 to May 11, 2026)
7:30pm-10:25pm on Wednesday at SDL DNA (Feb 9, 2026 to May 11, 2026)",Axinn Center 229 (AXN 229)
78,BLST0243A-S26,"Pan-African Philosophy
Please register via PSCI 0243A",Kemi Fuentes-George,CMP PHL,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 104 (AXN 104)
79,BLST0248A-S26,"African American Drama
Please register via THEA 0248A",Olga Sanchez Saltveit,"AMR ART, LIT","12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 232 (MAC 232)
80,BLST0325A-S26,"African Stories and Histories
Please register via FREN 0325A",Nnenna Onyima,"LIT LNG, SAF","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Le Chateau 107 (CHT 107)
81,BLST0349A-S26,"Hispanic Athletes
Please register via SPAN 0349A",Enrique Garcia,"AMR CMP, LNG","8:40am-9:30am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Sunderland Lanuage Ctr 130 (SDL 130)
82,BLST0367A-S26,"Duality in African Art
Please register via HARC 0367A",Marguerite Lenius,"ART CMP, HIS, SAF","2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 209 (MAC 209)
83,BLST0415A-S26,Black Feminist Thoughts,Jerry Philogene,"AMR CMP, HIS, SOC","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 311 (MNR 311)
84,CHEM0102A-S26,Foundations in Chemistry,Rick Bunt,,"9:45am-11:00am on Tuesday, Thursday (Mar 23, 2026 to May 11, 2026)",McCardell Bicentennial Hall 216 (MBH 216)
85,CHEM0105A-S26,General Chemistry,Emma Guiberson,DED SCI,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 104 (MBH 104)
86,CHEM0105B-S26,General Chemistry,Kira Rahn,DED SCI,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 169 (MBH 169)
87,CHEM0205A-S26,Organic I: Struct & Reactivity,Thomas Anderson,SCI,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 219 (MBH 219)
88,CHEM0205B-S26,Organic I: Struct & Reactivity,Thomas Anderson,SCI,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 219 (MBH 219)
89,CHEM0211A-S26,Foundations of Analytical Chem,Kira Rahn,DED SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 168 (MBH 168)
90,CHEM0231A-S26,Foundations of Inorg. Chem,Alex Bredar,SCI,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 411 (MBH 411)
91,CHEM0305A-S26,Organic II: Synthesis & Spect.,Lindsay Repka,,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 220 (MBH 220)
92,CHEM0305B-S26,Organic II: Synthesis & Spect.,Lindsay Repka,,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 220 (MBH 220)
93,CHEM0322A-S26,Biochemistry of Macromolecules,Linamarie Miller,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 438 (MBH 438)
94,CHEM0355A-S26,Thermodynamics and Kinetics,AJ Vasiliou,,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 411 (MBH 411)
95,CHEM0370A-S26,Environ. Chem & Health,Molly Costanza-Robinson,SCI,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 311 (MBH 311)
96,CHEM0422A-S26,Biochemistry Laboratory,"Emma Guiberson, Linamarie Miller",CW,"1:00pm-4:15pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 459 (MBH 459)
97,CHEM0431A-S26,Advanced Inorganic Chemistry,Alex Bredar,,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 438 (MBH 438)
98,CHEM0442A-S26,Advanced Organic Chemistry,Thomas Anderson,,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 538 (MBH 538)
99,CHNS0103A-S26,Beginning Chinese,"Hang Du, Mairead Harris",LNG,"8:15am-9:30am on Tuesday, Thursday at MNR 208 (Feb 9, 2026 to May 11, 2026)
8:40am-9:30am on Monday, Wednesday, Friday at MNR 208 (Feb 9, 2026 to May 11, 2026)",Munroe Hall 208 (MNR 208)
100,CHNS0103B-S26,Beginning Chinese,"Hang Du, Mairead Harris",LNG,"9:45am-11:00am on Tuesday, Thursday at MNR 217 (Feb 9, 2026 to May 11, 2026)
9:45am-10:35am on Monday, Wednesday, Friday at MNR 217 (Feb 9, 2026 to May 11, 2026)",Munroe Hall 217 (MNR 217)
101,CHNS0202A-S26,Intermediate Chinese II,"Mairead Harris, Abner Zhang",LNG,"8:40am-9:30am on Tuesday, Thursday at AXN 220 (Feb 9, 2026 to May 11, 2026)
8:40am-9:30am on Monday, Wednesday, Friday at AXN 220 (Feb 9, 2026 to May 11, 2026)",Axinn Center 220 (AXN 220)
102,CHNS0202B-S26,Intermediate Chinese II,"Mairead Harris, Abner Zhang",LNG,"9:45am-10:35am on Tuesday, Thursday at AXN 220 (Feb 9, 2026 to May 11, 2026)
9:45am-10:35am on Monday, Wednesday, Friday at AXN 220 (Feb 9, 2026 to May 11, 2026)",Axinn Center 220 (AXN 220)
103,CHNS0220A-S26,Modern Chinese Literature,Chialan Sharon Wang,"CW LIT, NOA","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 217 (MNR 217)
104,CHNS0270A-S26,Chinese Sociolinguistics,Hang Du,NOA SOC,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 208 (MNR 208)
105,CHNS0280A-S26,Heroism Chinese Lit (English),Kun You,LIT NOA,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 208 (MNR 208)
106,CHNS0302A-S26,Advanced Chinese,Kun You,LNG,"8:40am-9:30am on Tuesday, Thursday at MNR 409 (Feb 9, 2026 to May 11, 2026)
8:40am-9:30am on Monday, Wednesday, Friday at MNR 409 (Feb 9, 2026 to May 11, 2026)",Munroe Hall 409 (MNR 409)
107,CHNS0426A-S26,Chns Politics/Business Adv Rdg,Abner Zhang,LNG NOA,"1:10pm-2:00pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 406 (MNR 406)
108,CHNS0475A-S26,Seminar Chinese Fiction,Chialan Sharon Wang,"LIT LNG, NOA","9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Munroe Hall 217 (MNR 217)
109,CLAS0140A-S26,Augustus and World of Rome,Randall Ganiban,"EUR HIS, LIT","12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
110,CLAS0140B-S26,Augustus and World of Rome,Randall Ganiban,"CW EUR, HIS, LIT","12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
111,CLAS0152A-S26,Greek Tragedy,Marc Witkin,"EUR LIT, PHL","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
112,CLAS0420A-S26,"Seminar Classical Literature
Sem Classical Lit: Herodotus",Marc Witkin,EUR LIT,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 204 (AXT 204)
113,CMLT0101A-S26,Intro to World Literature,Roger Russi,"CMP CW, LIT","2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Atwater Dining 102 (ATD 102)
114,CMLT0205A-S26,"Intro:Contemporary Lit. Theory
Please register via ENGL 0205A",Antonia Losano,EUR LIT,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
115,CMLT0352A-S26,"Dostoevsky in Global Context
Please register via RUSS 0352A",Timothy Portice,"CMP LIT, NOA","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Freeman FR2 (FIC FR2)
116,CRWR0170A-S26,"Writing: Poetry, Fiction, NonF",Megan Mayhew-Bergman,ART,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Old Chapel 206 (OCH 206)
117,CRWR0170B-S26,"Writing: Poetry, Fiction, NonF",Robert Cohen,ART,"7:30pm-10:25pm on Tuesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 104 (AXN 104)
118,CRWR0173A-S26,Environmental Lit Workshop,Spring Ulmer,ART LIT,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Pearsons KAD (PRS KAD)
119,CRWR0175A-S26,The Art and Practice of Poetry,Karin Gottshall,ART,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 301 (AXT 301)
120,CRWR0218A-S26,"Playwriting I: Beginning
Please register via THEA 0218A",TBD,ART CW,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Adirondack House CLT (ADK CLT)
121,CRWR0308A-S26,Nonfiction across Genres,Spring Ulmer,LIT,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Pearsons KAD (PRS KAD)
122,CRWR0341A-S26,"Advanced Screenwriting
Please register via FMMC 0341A",David Miranda Hardy,ART,"9:45am-11:00am on Tuesday, Thursday at AXN 105 (Feb 9, 2026 to May 11, 2026)
7:30pm-10:25pm on Tuesday at AXN 105 (Feb 9, 2026 to May 11, 2026)",Axinn Center 105 (AXN 105)
123,CRWR0365A-S26,The Migrant's Journey,Sue Halpern,ART,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",
124,CRWR0370A-S26,Advanced Fiction Workshop,Megan Mayhew-Bergman,ART,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Old Chapel 206 (OCH 206)
125,CRWR0375A-S26,Workshop: Poetry,Karin Gottshall,ART,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 301 (AXT 301)
126,CRWR0454A-S26,"Avant-Garde Poetry Experiments
Please register via ENGL 0454A",Timothy Billings,ART LIT,"1:30pm-4:15pm on Thursday (Feb 9, 2026 to May 11, 2026)",Pearsons KAD (PRS KAD)
127,CSCI0145A-S26,Introduction to Computing,Andrea Vaccari,DED,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 224 (75SHS 224)
128,CSCI0145B-S26,Introduction to Computing,Andrea Vaccari,DED,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 224 (75SHS 224)
129,CSCI0146A-S26,Intensive Intro to Computing,Michael Linderman,DED,"12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 102 (75SHS 102)
130,CSCI0200A-S26,Math Foundations of Computing,Philip Caplan,DED,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 102 (75SHS 102)
131,CSCI0201A-S26,Data Structures,Ananya Das,DED,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 102 (75SHS 102)
132,CSCI0201B-S26,Data Structures,Ananya Das,DED,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 102 (75SHS 102)
133,CSCI0202A-S26,Computer Architecture,Christopher Andrews,DED,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 102 (75SHS 102)
134,CSCI0301A-S26,Theory of Computation,Frank Swenton,DED,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Sunderland Lanuage Ctr 110 (SDL 110)
135,CSCI0302A-S26,Algorithms and Complexity,Shelby Kimmel,DED,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 202 (75SHS 202)
136,CSCI0302B-S26,Algorithms and Complexity,Shelby Kimmel,DED,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 202 (75SHS 202)
137,CSCI0312A-S26,Software Development,Christopher Andrews,,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 203 (75SHS 203)
138,CSCI0321A-S26,Bioinformatics Algorithms,Michael Linderman,DED,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 203 (75SHS 203)
139,CSCI0425A-S26,Computational Geometry,Matthew Dickerson,DED,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 203 (75SHS 203)
140,CSCI0451A-S26,Machine Learning,Phil Chodrow,DED,"12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 203 (75SHS 203)
141,CSCI0451B-S26,Machine Learning,Phil Chodrow,DED,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 203 (75SHS 203)
142,CSCI0701A-S26,Senior Seminar,Philip Caplan,,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",75 Shannon Street 206 (75SHS 206)
143,CSCI0702A-S26,Senior Thesis,TBD,,"7:00pm-8:29pm on Sunday (Feb 9, 2026 to May 11, 2026)",
144,DANC0160A-S26,Introduction to Dance,Meshi Chavez,ART PE,"2:15pm-3:05pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 110 (MAC 110)
145,DANC0240A-S26,Writing the Body,Karima Borni,ART PE,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 109 (MAC 109)
146,DANC0260A-S26,Technique & Composition,Laurel Jenkins,ART PE,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 110 (MAC 110)
147,DANC0261A-S26,Improvisational Practices,Christal Brown,ART PE,"11:15am-12:05pm on Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 126 (MAC 126)
148,DANC0284A-S26,Modern Dance History in U.S.,Karima Borni,"AMR ART, CW, HIS","2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 125 (MAC 125)
149,DANC0360A-S26,Choreography & Performance,Daniel Miramontes,ART PE,"6:30pm-8:30pm on Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 110 (MAC 110)
150,DANC0370A-S26,Production Workshop,Bert Crosby,ART PE,"1:10pm-2:00pm on Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 126 (MAC 126)
151,DANC0461A-S26,Advanced Dance Improvisation,Lida Winfield,ART PE,"8:40am-9:30am on Tuesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 110 (MAC 110)
152,DANC0470A-S26,"Technique Workshop
Technique Workshop Lab","Laurel Jenkins, Christal Brown, Meshi Chavez, Daniel Miramontes, Lida Winfield",ART PE,"8:40am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 110 (MAC 110)
153,ECON0111A-S26,Economic Statistics,Erick Gong,DED,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
154,ECON0111B-S26,Economic Statistics,Erick Gong,DED,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
155,ECON0150A-S26,Intro Macroeconomics,Cihan Artunc,SOC,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
156,ECON0150B-S26,Intro Macroeconomics,Raphaelle Gauvin-Coulombe,SOC,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 105 (WNS 105)
157,ECON0150C-S26,Intro Macroeconomics,Kevin Kuruc,SOC,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 104 (WNS 104)
158,ECON0150D-S26,Intro Macroeconomics,Carolyn Craven,SOC,"12:45pm-2:00pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
159,ECON0150E-S26,Intro Macroeconomics,Carolyn Craven,SOC,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall 201 (AXT 201)
160,ECON0155A-S26,Intro Microeconomics,Steven Pecsok,SOC,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
161,ECON0155B-S26,Intro Microeconomics,Steven Pecsok,SOC,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
162,ECON0155C-S26,Intro Microeconomics,Will Pyle,SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Ross Commons Dining 011 (RCD 011)
163,ECON0155D-S26,Intro Microeconomics,Paul Sommers,SOC,"9:45am-10:35am on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Axinn Center 109 (AXN 109)
164,ECON0211A-S26,Regression Analysis,Tanya Byker,DED,"8:15am-9:30am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Hillcrest 103 (HLD 103)
165,ECON0211B-S26,Regression Analysis,Tanya Byker,DED,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Hillcrest 103 (HLD 103)
166,ECON0231A-S26,"Pol Econ of Contemporary India
Please register via IGST 0231A",Sunder Ramaswamy,"HIS SOA, SOC","2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 220 (AXN 220)
167,ECON0232A-S26,The Chinese Economy,Will Pyle,NOA SOC,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
168,ECON0234A-S26,Economics of Africa,Obie Porteous,SAF SOC,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 103 (AXN 103)
169,ECON0234B-S26,Economics of Africa,Obie Porteous,"CW SAF, SOC","9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 104 (AXN 104)
170,ECON0235A-S26,Industrial Organization,Alice Gindin,SOC,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
171,ECON0250A-S26,Macro Theory,Zara Contractor,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
172,ECON0250B-S26,Macro Theory,Zara Contractor,,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
173,ECON0255A-S26,Micro Theory,Jeffrey Carpenter,,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
174,ECON0255B-S26,Micro Theory,Jeffrey Carpenter,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
175,ECON0265A-S26,Environmental Economics,Jon Isham,,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Hillcrest 103 (HLD 103)
176,ECON0366A-S26,"Law and Econ in Healthcare
Please register via GHLT 0366A",Jessica Holmes,AMR SOC,"1:30pm-4:15pm on Tuesday (Feb 9, 2026 to May 11, 2026)",Robert A. Jones '59 House CON (RAJ CON)
177,ECON0366B-S26,"Law and Econ in Healthcare
Please register via GHLT 0366B",Jessica Holmes,AMR SOC,"7:30pm-10:25pm on Tuesday (Feb 9, 2026 to May 11, 2026)",Robert A. Jones '59 House CON (RAJ CON)
178,ECON0401A-S26,Inequality and Justice,Peter Matthews,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Old Chapel 206 (OCH 206)
179,ECON0411A-S26,Applied Econometrics,Phani Wunnava,,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 010 (WNS 010)
180,ECON0431A-S26,Economics of European Union,Kristina Sargent,EUR,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 011 (WNS 011)
181,ECON0250A-S26,Macro Theory,Zara Contractor,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
182,ECON0250B-S26,Macro Theory,Zara Contractor,,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
183,ECON0255A-S26,Micro Theory,Jeffrey Carpenter,,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
184,ECON0255B-S26,Micro Theory,Jeffrey Carpenter,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
185,ECON0265A-S26,Environmental Economics,Jon Isham,,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Hillcrest 103 (HLD 103)
186,ECON0366A-S26,"Law and Econ in Healthcare
Please register via GHLT 0366A",Jessica Holmes,AMR SOC,"1:30pm-4:15pm on Tuesday (Feb 9, 2026 to May 11, 2026)",Robert A. Jones '59 House CON (RAJ CON)
187,ECON0366B-S26,"Law and Econ in Healthcare
Please register via GHLT 0366B",Jessica Holmes,AMR SOC,"7:30pm-10:25pm on Tuesday (Feb 9, 2026 to May 11, 2026)",Robert A. Jones '59 House CON (RAJ CON)
188,ECON0401A-S26,Inequality and Justice,Peter Matthews,,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Old Chapel 206 (OCH 206)
189,ECON0411A-S26,Applied Econometrics,Phani Wunnava,,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 010 (WNS 010)
190,ECON0431A-S26,Economics of European Union,Kristina Sargent,EUR,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 011 (WNS 011)
191,ECSC0311A-S26,Mineralogy,David West,SCI,"8:15am-9:30am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 417 (MBH 417)
192,EDST0102A-S26,"English Lang in Global Context
Please register via WRPR 0102A",Shawna Shapiro,CMP SOC,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",McCardell Bicentennial Hall 148 (MBH 148)
193,EDST0115A-S26,Education In the USA,Jonathan Miller-Lane,AMR SOC,"9:45am-11:00am on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Twilight Hall AUD (AXT AUD)
194,EDST0115B-S26,Education In the USA,Melissa Hammerle,AMR SOC,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Axinn Center 219 (AXN 219)
